country_name,total_applications,total_hires,hire_rate
Iraq,202,21,10.40
Paraguay,201,27,13.43
Estonia,201,26,12.94
Germany,201,27,13.43
Netherlands,201,31,15.42
"Holy See (Vatican City State)",200,23,11.50
Albania,200,24,12.00
"Saint Kitts and Nevis",200,24,12.00
Oman,200,27,13.50
Madagascar,199,34,17.09
"Cote d'Ivoire",199,23,11.56
"Marshall Islands",199,24,12.06
Gambia,199,19,9.55
Fiji,199,29,14.57
Palau,199,28,14.07
Guinea-Bissau,198,26,13.13
Montenegro,198,15,7.58
Belize,198,25,12.63
Bahamas,198,26,13.13
Montserrat,198,26,13.13
"New Caledonia",198,33,16.67
"New Zealand",198,24,12.12
Barbados,197,23,11.68
Tunisia,197,22,11.17
Afghanistan,197,26,13.20
Monaco,197,25,12.69
Eritrea,196,29,14.80
Kazakhstan,196,31,15.82
"Democratic People's Republic of Korea",196,24,12.24
Cameroon,196,21,10.71
Uganda,196,25,12.76
Yemen,195,26,13.33
Malta,195,20,10.26
Guam,195,15,7.69
Ghana,195,29,14.87
"Western Sahara",195,28,14.36
"Northern Mariana Islands",195,44,22.56
"Brunei Darussalam",194,32,16.49
Croatia,194,29,14.95
Serbia,194,25,12.89
Maldives,194,16,8.25
Azerbaijan,194,33,17.01
Belgium,193,27,13.99
Nigeria,193,26,13.47
Cyprus,193,31,16.06
Tuvalu,193,35,18.13
Andorra,192,22,11.46
Grenada,192,20,10.42
"Saint Pierre and Miquelon",192,26,13.54
Nepal,191,26,13.61
Lesotho,191,19,9.95
Sweden,191,24,12.57
Anguilla,190,29,15.26
Jamaica,190,20,10.53
Qatar,190,28,14.74
"Russian Federation",190,26,13.68
"Central African Republic",189,27,14.29
Guyana,189,22,11.64
Moldova,189,29,15.34
Reunion,189,26,13.76
India,189,25,13.23
Myanmar,188,23,12.23
"United States of America",188,25,13.30
Austria,187,31,16.58
Philippines,187,25,13.37
Greece,187,23,12.30
Macedonia,187,22,11.76
Bahrain,186,25,13.44
Uzbekistan,186,23,12.37
Algeria,185,28,15.14
"Antarctica (the territory South of 60 deg S)",185,26,14.05
Indonesia,185,32,17.30
Jordan,185,22,11.89
Tonga,184,24,13.04
"United Arab Emirates",184,21,11.41
"Costa Rica",184,24,13.04
"El Salvador",183,24,13.11
Turkey,183,28,15.30
"Saint Martin",183,27,14.75
"Syrian Arab Republic",183,24,13.11
"Burkina Faso",182,30,16.48
"American Samoa",182,20,10.99
Switzerland,182,21,11.54
Macao,181,28,15.47
Slovenia,181,22,12.15
Benin,181,25,13.81
Sudan,180,33,18.33
"Slovakia (Slovak Republic)",179,22,12.29
Senegal,179,29,16.20
China,179,26,14.53
Armenia,175,18,10.29
"Sao Tome and Principe",174,27,15.52
"Libyan Arab Jamahiriya",172,23,13.37
"Cape Verde",172,22,12.79
"Isle of Man",170,25,14.71
Tanzania,165,21,12.73
"Cocos (Keeling) Islands",164,23,14.02
